epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
2,231.072,1.00058,2.61299,1.38456,0.31104,0.21427,0.15853,0.09487,1.23413,2.38599,1.6989,0.00659048,0.00659048,0.00659048
3,452.66,1.05604,2.49481,1.41794,0.393,0.22439,0.14509,0.08405,1.31253,2.56132,1.89156,0.00979192,0.00979192,0.00979192
4,675.009,1.12731,2.4393,1.47545,0.37923,0.24443,0.15156,0.0905,1.32763,2.34159,1.84085,0.009703,0.009703,0.009703
5,897.578,1.08605,2.25711,1.43661,0.36643,0.27803,0.20209,0.12335,1.23036,2.20716,1.76829,0.009604,0.009604,0.009604
6,1119.78,1.05943,2.16223,1.4175,0.36199,0.2998,0.22619,0.14328,1.21019,2.06248,1.70526,0.009505,0.009505,0.009505
7,1341.8,1.02875,2.07711,1.3958,0.41394,0.33609,0.27115,0.18149,1.09366,1.94318,1.58674,0.009406,0.009406,0.009406
8,1563.09,1.00901,2.00644,1.37954,0.40902,0.31358,0.2728,0.17935,1.10421,1.93388,1.599,0.009307,0.009307,0.009307
9,1783.63,0.99994,1.96932,1.3698,0.50554,0.31836,0.28701,0.19786,1.01575,1.76066,1.50296,0.009208,0.009208,0.009208
10,2006.87,0.97242,1.90836,1.35042,0.3394,0.37462,0.32275,0.22631,1.01233,1.69212,1.50288,0.009109,0.009109,0.009109
11,2246.46,0.96287,1.88084,1.34147,0.4161,0.36441,0.32013,0.22436,1.03364,1.72182,1.49198,0.00901,0.00901,0.00901
12,2520.29,0.94781,1.83289,1.32937,0.4166,0.38087,0.33841,0.23522,1.01268,1.66606,1.49893,0.008911,0.008911,0.008911
13,2810.53,0.93573,1.8127,1.32304,0.46817,0.39954,0.36561,0.26217,0.95125,1.5877,1.41468,0.008812,0.008812,0.008812
14,3087.19,0.93238,1.79778,1.3209,0.45954,0.40768,0.36067,0.25131,0.99579,1.65278,1.47953,0.008713,0.008713,0.008713
15,3363.06,0.91418,1.75302,1.30365,0.3895,0.3651,0.34915,0.24705,0.97518,1.59013,1.45632,0.008614,0.008614,0.008614
16,3640.7,0.90902,1.74049,1.30211,0.42481,0.41434,0.37278,0.2684,0.95136,1.5217,1.42874,0.008515,0.008515,0.008515
17,3914.39,0.89689,1.71179,1.28946,0.42452,0.44114,0.38263,0.27531,0.9366,1.49591,1.39288,0.008416,0.008416,0.008416
18,4193.79,0.88744,1.6838,1.28476,0.39596,0.4572,0.36876,0.26576,0.95012,1.54281,1.41966,0.008317,0.008317,0.008317
19,4474.87,0.88332,1.67381,1.2818,0.44895,0.44678,0.3977,0.28936,0.9294,1.4753,1.38044,0.008218,0.008218,0.008218
20,4732.53,0.87865,1.65799,1.27816,0.45505,0.42795,0.4028,0.2977,0.91021,1.43579,1.35874,0.008119,0.008119,0.008119
21,5021.02,0.87028,1.64041,1.27329,0.45714,0.42431,0.40661,0.30209,0.88985,1.45212,1.34831,0.00802,0.00802,0.00802
22,5309.52,0.86606,1.61555,1.26803,0.51588,0.42831,0.41474,0.30598,0.89097,1.43002,1.36263,0.007921,0.007921,0.007921
23,5591.95,0.85973,1.6059,1.26462,0.47009,0.46968,0.42261,0.31577,0.88476,1.40355,1.3515,0.007822,0.007822,0.007822
24,5877.68,0.85483,1.59143,1.25541,0.57609,0.41537,0.43941,0.3309,0.86617,1.36243,1.32987,0.007723,0.007723,0.007723
25,6156.73,0.85113,1.55776,1.25443,0.49031,0.46168,0.43664,0.32418,0.86743,1.34161,1.32733,0.007624,0.007624,0.007624
26,6440.99,0.84391,1.54556,1.25089,0.47985,0.44709,0.43548,0.32005,0.85466,1.37564,1.3167,0.007525,0.007525,0.007525
27,6700.85,0.83487,1.5236,1.24249,0.52262,0.45997,0.45266,0.33731,0.85823,1.33507,1.32344,0.007426,0.007426,0.007426
28,6938.21,0.83254,1.52727,1.24452,0.52219,0.4568,0.45328,0.34376,0.83602,1.32907,1.29985,0.007327,0.007327,0.007327
29,7179.37,0.8308,1.52242,1.24007,0.49912,0.51086,0.47067,0.35196,0.83586,1.33253,1.29701,0.007228,0.007228,0.007228
30,7418.03,0.82095,1.51572,1.23795,0.56497,0.48653,0.48183,0.359,0.83521,1.27546,1.3025,0.007129,0.007129,0.007129
